#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-0.159945,3,87.949754
-0.815037,8,87.974188
-0.090938,2,87.990806
-0.242601,3,88.001398
-0.808485,7,88.023117
-2.497321,27,88.121443
-0.559158,5,88.139138
-0.236268,3,88.148808
-0.579921,7,88.172174
-0.537248,5,88.188586
-1.150457,12,88.227236
-0.438297,6,88.245353
-0.037052,1,88.248893
-1.419301,16,88.309274
-0.853696,9,88.341319
-1.666632,18,88.40126
-1.109933,13,88.443229
-0.336308,4,88.454983
-0.135132,2,88.460754
-0.128966,2,88.470586
-0.845754,6,88.489214
-0.294349,4,88.502804
-0.373063,5,88.520848
-0.431994,5,88.540072
-0.096924,2,88.548117
-0.187898,3,88.556801
-1.184095,14,88.608964
-0.173441,3,88.619433
-0.36586,4,88.632676
-0.447345,5,88.647915
-0.93445,9,88.681575
-0.863636,8,88.717158
-0.02156,1,88.72251
-0.237052,4,88.740763
-0.650151,8,88.785537
-0.519094,6,88.812673
-0.607551,7,88.839373
-1.221388,11,88.888945
-0.147031,2,88.898375
-0.374181,4,88.91848
-0.61164,6,88.948962
-1.857131,16,89.032035
-0.633513,7,89.064065
-0.656794,8,89.096303
-1.3471,14,89.165547
-0.944375,9,89.193992
-0.916481,9,89.224812
-1.091959,14,89.272988
-0.189064,3,89.2833
-0.761631,6,89.306755
-0.022029,1,89.311134
-0.676808,8,89.333446
-0.315426,4,89.345269
-0.038331,1,89.348578
-0.578934,5,89.372743
-0.154121,3,89.381766
-0.816413,9,89.410161
-0.974421,11,89.451431
-0.214384,3,89.460626
-0.532957,7,89.99499
-0.888752,10,90.033715
-1.203028,10,90.069201
-0.22044,3,90.079399
-0.371824,4,90.094086
-1.777229,21,90.164653
-0.187198,3,90.173672
-0.288419,4,90.185673
-0.732538,8,90.213703
-0.225108,4,90.230095
-0.462354,5,90.24534
-0.177379,3,90.25607
-0.342321,4,90.27404
-0.216504,3,90.282686
-0.472411,6,90.30822
-1.31784,11,90.354322
